title,author
The Covenant of Water (Oprah's Book Club),Abraham Verghese
Lessons in Chemistry: A Novel,Bonnie Garmus
Demon Copperhead: A Pulitzer Prize Winner,Barbara Kingsolver
A Court of Mist and Fury (A Court of Thorns and Roses Book 2),Sarah J. Maas
A Court of Wings and Ruin (A Court of Thorns and Roses Book 3),Sarah J. Maas
A Court of Thorns and Roses,Sarah J. Maas
The Heaven & Earth Grocery Store: A Novel,James McBride
Things We Never Got Over (Knockemout Book 1),Lucy Score
The Five-Star Weekend,Elin Hilderbrand
The Lost Bookshop: The most charming and uplifting novel of 2023 and the perfect gift for book lovers!,Evie Woods
House of Earth and Blood (Crescent City Book 1),Sarah J. Maas
Lady Tan's Circle of Women: A Novel,Lisa See
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid
Light Bringer: A Red Rising Novel (Red Rising Series),Pierce Brown
The Serpent and the Wings of Night (Crowns of Nyaxia Book 1),Carissa Broadbent
It Ends with Us: A Novel,Colleen Hoover
It Starts with Us: A Novel (It Ends with Us Book 2),Colleen Hoover
Horse: A Novel,Geraldine Brooks
Cruel Paradise (Oryolov Bratva Book 1),Nicole Fox
The Ashes and the Star-Cursed King (Crowns of Nyaxia Book 2),Carissa Broadbent
Throne of Glass,Sarah J. Maas
Heir of Fire (Throne of Glass Book 3),Sarah J. Maas
Kingdom of Ash (Throne of Glass Book 7),Sarah J. Maas
Empire of Storms (Throne Of Glass Series Book 5),Sarah J. Maas
Queen of Shadows (Throne of Glass Book 4),Sarah J. Maas
Crown of Midnight (Throne of Glass Book 2),Sarah J. Maas
Tower of Dawn (Throne of Glass Book 6),Sarah J. Maas
The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),Suzanne Collins
We'll Always Have Summer (Summer I Turned Pretty Book 3),Jenny Han
The Assassin's Blade: The Throne of Glass Prequel Novellas (Throne Of Glass Series),Sarah J. Maas
It's Not Summer Without You (The Summer I Turned Pretty Book 2),Jenny Han
"The Way of Kings (The Stormlight Archive, Book 1)",Brandon Sanderson
The Eye of the World: Book One of The Wheel of Time,Robert Jordan
"Words of Radiance (The Stormlight Archive, Book 2)",Brandon Sanderson
Oathbringer: Book Three of the Stormlight Archive,Brandon Sanderson
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages (The Mistborn Saga)",Brandon Sanderson
Mistborn: The Final Empire,Brandon Sanderson
The Great Hunt: Book Two of 'The Wheel of Time',Robert Jordan
A Good Girl's Guide to Murder,Holly Jackson
The Lost Metal: A Mistborn Novel (The Mistborn Saga Book 7),Brandon Sanderson
Fourth Wing (The Empyrean Book 1),Rebecca Yarros
Throne of Glass eBook Bundle: An 8 Book Bundle,Sarah J. Maas
A Court of Silver Flames (A Court of Thorns and Roses Book 5),Sarah J. Maas
A Court of Thorns and Roses eBook Bundle: A 5 Book Bundle,Sarah J. Maas
House of Sky and Breath (Crescent City),Sarah J. Maas
Rhythm of War: Book Four of The Stormlight Archive,Brandon Sanderson
Go Tell the Bees That I Am Gone: A Novel (Outlander Book 9),Diana Gabaldon
Waybound (Cradle Book 12),Will Wight
The Dark Forest (The Three-Body Problem Series Book 2),Cixin Liu
The Covenant of Water: An Oprah's Book Club Selection,Abraham Verghese
Wild Scottish Knight: A fun opposites attract magical romance (The Enchanted Highlands Book 1),Tricia O'Malley
Death's End (The Three-Body Problem Series Book 3),Cixin Liu
Children of Time,Adrian Tchaikovsky
Magical Midlife Madness (Leveling Up Book 1),K.F. Breene
Zodiac Academy 8.5: Beyond The Veil,Caroline Peckham
The Last Wish: Introducing the Witcher (The Witcher Saga Book 1),Andrzej Sapkowski
Lords of Uncreation (The Final Architecture Book 3),Adrian Tchaikovsky
Legends & Lattes: A Novel of High Fantasy and Low Stakes,Travis Baldree
"The Choice: The Dragon Heart Legacy, Book 3",Nora Roberts
House of Pounding Hearts (The Kingdom of Crows Book 2),Olivia Wildenstein
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann
I'm Glad My Mom Died,Jennette Mccurdy
Spare,"Prince Harry, The Duke of Sussex"
The 48 Laws of Power,Robert Greene
Man's Search for Meaning,Viktor E. Frankl
Solito: A Memoir,Javier Zamora
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe
Greenlights,Matthew McConaughey
"Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed",Lori Gottlieb
Steve Jobs,Walter Isaacson
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S. C. Gwynne
Never Finished: Unshackle Your Mind and Win the War Within,David Goggins
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell
Born a Crime: Stories from a South African Childhood,Trevor Noah
The Light We Carry: Overcoming in Uncertain Times,Michelle Obama
The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre
Leonardo da Vinci,Walter Isaacson
Untamed,Glennon Doyle
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle
